Date,Viewcount,Likes,Comments,Post Link,Description
4/23/2021,0,19,0,https://www.instagram.com/p/COAmWdnA4f9/,We are very proud that our Kwan is being recognized by TNW for her awesomeness and brain!
4/23/2021,0,18,0,https://www.instagram.com/p/CN9tAgSAucl/,"How could local governments in The Netherlands transform their services in an integrated and efficient manner? In 'Mind the GaaP' we explore methods to create an open invitation for municipalities to collaborate, share tools and strategies, and learn from each other in Digital Transformation. More about this project see our website on Track Systems for Sharing."
4/22/2021,116,0,0,https://www.instagram.com/p/CN7Go9Fl0FF/,"How often don't we say: 'Ask nature' or 'Look at nature' when dealing with complexity? But how often do we actually DO that? Asking nature? 🎤 How can biomimicry, the practice that learns from and mimics the strategies found in nature, help solve human design challenges? For answers to these questions, and for raising more questions, Carola and Marco did not ask nature, but they asked Hugo Araujo."
4/22/2021,0,13,0,https://www.instagram.com/p/CN7Ee-KAQjN/,Soon we will update you again about what's going on at Digital Society School. Want to get inspired and know more about courses and projects. Check our website on the news session and sign up!
4/20/2021,0,45,3,https://www.instagram.com/p/CN4ZFd5gf2u/,"Meet AJ Magee. He has joined the Instruments Team at Digital Society School, contributing his expertise in Accessibility, Industrial, UX, and UI design to implement intuitive and engaging digital tools for our partners and clients."
4/20/2021,0,10,0,https://www.instagram.com/p/CN1-kF9A57i/,"Method Monday: set your goals, choose your methods, work your magic.Collage WHEN Collages are generally focused on uncovering emotional / experience aspects of design.WHY This method uncovers connections and visual stories regarding a theme.Want to learn more? Go to the bottom of our website and click on ""Resources""."
4/17/2021,0,15,0,https://www.instagram.com/p/CNuQM79HbUW/,"Are you ready to work together for People, Planet and Prosperity? Download our brand new brochure from the partner page on our website and discover how the Sustainable Development Goals can help to open up market opportunities for your business."
4/15/2021,0,14,0,https://www.instagram.com/p/CNrrYoGMSRd/,Roughly 40% of former MBO students drop out in their first year. How might we design a solution with physical-digital elements that can signal MBO students' experience of their transition into HBO-level education? Go to our website and check it out on the project page From MBO to HBO and beyond. 
4/14/2021,0,19,0,https://www.instagram.com/p/CNoyDzwJ0RE/,"Follow our ADAPTABLE MINDSET COURSE and get the tools, mindset and skills to develop an adaptable mindset in your personal and professional life. This course is virtually for anyone who wishes to create something or desires to be surfing the wave of the new digital society rather than drowning under it. Sign up on our website!"
4/13/2021,0,21,1,https://www.instagram.com/p/CNmUGSrMzM7/,"Do you want to be a (better) coach? Start our INTRODUCTION TO COACHING CONVERSATIONS AND COACHING SKILLS course on May 18th to get the foundation to coaching and practice 3 chosen coaching skills: the power of listening, asking questions and reflective inquiry. This course is for facilitators, managers, team leaders, trainers and teachers with basic or none prior knowledge. Sign up on our website! "
4/12/2021,0,12,0,https://www.instagram.com/p/CNj9BahgQrH/,"Yes, it's time for Method Monday again! Set your goals, choose your methods, work your magic.Cognitive map WHEN When you need to gain understanding of the way users navigate through a design solution.WHY Most solutions are developed by people that are not the end users, this allows to test of the users understand the design.Want to learn more? Go to the bottom of our website and click on ""Resources"". "
4/8/2021,0,13,1,https://www.instagram.com/p/CNZp3OSg5Kx/,"In our previous update about the Digital Twin project, we briefly mentioned the self-tracking research. Before we could come to an understanding of athletes' challenges toward reaching balance, we wanted to understand what reaching balance means to us. Read all about our findings at https://buff.ly/39aZXfh"
4/7/2021,0,24,0,https://www.instagram.com/p/CNW3V08s4sZ/,"Do you want to become an innovator in your field? Are you curious about design thinking and human centered design? Would you like to uncover opportunities in your daily work and engage others in the process too? Would you like to learn practical tips and useful strategies to apply creativity to your problem solving approach?If you answered yes to one or more of these questions, then this course is for you!"
4/6/2021,111,0,0,https://www.instagram.com/p/CNUgQJzLYKe/,"Listen to a sneak preview of the next podcast in which Marco Van Hout, our co-founder, and Carola Verschoor, founder of Transformational Studio, are interviewing 21 transformational leaders about how we might address the challenges of the 21st century for the special series # 21for21 or DSS's podcast ""Dear Future, I'm Ready"". As they share their ideas you'll learn about how design, technology and social innovation can help.Listen the podcast here: https://anchor.fm/digital-society-school/"
4/5/2021,0,12,0,https://www.instagram.com/p/CNR7dQVMsop/,"Method Monday: set your goals, choose your methods, work your magic. Co-discovery WHEN In the testing phases of a project, this can be done with sketchy designs and / or high fidelity prototypes.WHY Having two participants that test the system, allows to gain different viewpoints on the same design.Want to learn more? Go to the bottom of our website and click on ""Tools"".We also offer the new course ""Design Thinking Fundamentals"" which can also be found on our website!"
4/2/2021,0,20,0,https://www.instagram.com/p/CNJ_V40gMEe/,Starting at April 7th: our SUSTAINABILITY BY DESIGN course. Invest only 3 hours per week to learn about the principles of sustainable design and how solve challenges in a sustainable way. This course is for anyone who wants to apply the Sustainable Development Goals in their own professional context in a practical way. 
3/31/2021,0,12,0,https://www.instagram.com/p/CNFDf6aL7Mz/,"“Digital twins have the potential to create a shared digital reality, upon which we can design, model and monitor interventions. The question is, who partakes in this conversation, how do we interact, and how can we understand how codified abstractions do, or don't do justice to the intricacies of reality. ” Meet Marcel Schouwenaar. He will join the Digital Twin Track as ambassador for the program, contributing his expertise in responsible design, development and application of technology in the context of wicked problems."
3/30/2021,0,6,0,https://www.instagram.com/p/CNCQ9W6AzwP/,Did you miss our newsletter last week? Be sure to catch the next one! 
3/29/2021,0,6,0,https://www.instagram.com/p/CNAA0XBLR1m/,"Listen to our newest podcast in which Marco van Hout, our co-founder, and Carola Verschoor, founder of Transformational Studio, are interviewing 21 transformational leaders about how we might address the challenges of the 21st century for the special series # 21for21 of DSS's podcast Dear Future, I'm Ready. As they share their ideas you'll learn about how design, technology and social innovation can help."
3/29/2021,0,16,0,https://www.instagram.com/p/CM_sNDLAl0k/,"It's that day of the week again! Set your goals, choose your methods, work your magic.Clickable Prototype WHEN Once an idea has been developed enough and needs input on user behavior with it.WHY To check if the design behaves as intended. Want to learn more? Go to the bottom of our website and click on ""Tools"".We also offer the new course ""Design Thinking Fundamentals"""
3/26/2021,0,10,0,https://www.instagram.com/p/CM4O8AVgs31/,
3/26/2021,0,11,0,https://www.instagram.com/p/CM390mysbgY/,Homeschooling during the COVID-19 pandemic.Join Dr Samantha Eddis and Dr. Dimitrios Vlachopoulos today at 16:00 as they share the opportunities and challenges of homeschooling during the COVID-19 pandemic.
3/25/2021,0,13,0,https://www.instagram.com/p/CM1f1ZIAq67/,
3/23/2021,0,7,0,https://www.instagram.com/p/CMwdJw7MqjD/,Homeschooling during the COVID-19 pandemic.Join Dr Samantha Eddis and Dr. Dimitrios Vlachopoulos as they share the opportunities and challenges of homeschooling during the COVID-19 pandemic.
3/22/2021,0,15,0,https://www.instagram.com/p/CMt_OgYrzGY/,"New Monday, new method! Set your goals, choose your methods, work your magic. Break up / Love letter WHEN In the ideation and user exploration phase.WHY Using brand- consumer relationships, perception and loyalty can help you create a better design.Want to learn more? Go to the bottom of our website and click on ""Tools"".We also offer the new course ""Design Thinking Fundamentals"""
3/18/2021,0,10,0,https://www.instagram.com/p/CMjr_1Drp7A/,"The EdTech for Social Change track uses technology to boost individual learning, corporate training and to make learning accessible to vulnerable social groups. In 2020 the Amsterdam University of Applied Science, the municipality of Amsterdam, StartupAmsterdam, the Metropolitan Office of Amsterdam and the Amsterdam Economic Board joined forces with us. The aspiration was to bring key players together to leverage talent development in an effective way; the Talent Ecosystem Guide (TEG) was born. Now the team of Dimitrios Vlachopolous, Mari Luz Garcia, Azusa Matsukubo, Alexandros Sapounidis, Mariam Abdelkader, Esmee van der Knapp want to find out how to attract companies in using TEG. Keep following us to check out the outcomes!"
3/17/2021,0,11,0,https://www.instagram.com/p/CMg5e2GAQ77/,"Our Global Goals Jam partner in Hong Kong, FabCafe HK, is calling entries to design a better world! If you are working on innovative projects, or you have creative ideas, this is the chance to show your incredible works! The submission deadline has extended to 21 Mar 2021.“I am delighted to see spin offs of our annual Global Goals Jam happening earlier in the year, like the Better World Challenge by our partner FabCafe in Hong Kong. And I am even more honored to be part of the jury panel that will look at all entries - can't wait to see what the global community sends in! ”- Anneke van Woerden, Impact Producer Digital Society School and Coordinator Global Goals Jam "
3/16/2021,0,11,0,https://www.instagram.com/p/CMeUu1vA_SA/,"Do you want to become an innovator in your field? Are you curious about design thinking and human centered design? Would you like to uncover opportunities in your daily work and engage others in the process too? Would you like to learn practical tips and useful strategies to apply creativity to your problem solving approach? If you answered yes to one or more of these questions, then this course is for you!"
3/15/2021,0,20,0,https://www.instagram.com/p/CMcSTNMrQrg/,"Internship alert! We are looking for an enthusiastic intern with a passion for sustainable development and cross-cultural collaboration. Your goal is to support and coordinate our international Global Goals Jam community, by helping them in organizing their own Jam event, connecting our key partners in meetups, events, and training, and supporting our team in collecting insights and stories for our 5 year Impact Report. You'll also work closely together with our university's Green Office to prepare the Amsterdam Jam."
3/15/2021,0,11,0,https://www.instagram.com/p/CMb9oMQsCre/,"Method Monday time! Set your goals, choose your methods, work your magic.Brain writing:WHEN When there is a need to develop ideas with a team that doesn't feel comfortable with either drawing or presenting. WHY Some people don't feel comfortable with drawing or presenting, this might hinder their idea generation."
3/12/2021,0,5,0,https://www.instagram.com/p/CMUIZywMWhB/,"What's going on at Digital Society School? Sign up for our newsletter to stay updated on all of our projects, partnerships and digital events!"
3/11/2021,0,16,2,https://www.instagram.com/p/CMRjlsHguFF/,"Many new projects are starting right now, so it's time to introduce them to you. Let's kick off with EIPSI, which stands for Evidence Informed Practice for School Inclusion approach on which Dimitrios Vlachopolous, Asia Trzeciak, Panna Chow, Carolin Henze, Kyra Kronenberg, Vincent Zepeda and Charvi Mantri are working.Socio-economic status is one of the strongest determinants of students' academic performance. In order to overcome these inequalities and promote inclusion schools need to adopt educational measures. The team's aim is to encourage and motivate teachers to use scientific evidence when making decisions to improve students' learning. “We hope to contribute to reducing the gap between advantaged and disadvantaged pupils and promoting inclusion at schools”."
3/10/2021,0,19,0,https://www.instagram.com/p/CMPFqRnMP63/,"""Data is only useful when you can make meaning out of it. Information is something contextual. Let's use our storytelling powers to imagine future scenarios and create more meaningful products."" Gaspard Bos calls himself a transition (because sustainability is dead) designer and, under the guise of New State of Matter (NSOMa), provides ""relationship therapy for people and things."" "
3/8/2021,0,14,0,https://www.instagram.com/p/CMJ8HBEM-w_/,"It's time for Method Monday again! Set your goals, choose your methods, work your magic.Boundary shifting:WHEN When the team is stuck and needs inspiration to innovate. WHY Finding solutions that work in another system can give insights on the one you are working on."
3/5/2021,0,13,1,https://www.instagram.com/p/CMCqMIYl098/,"We are very excited for our panel session at # sxsw2021 #SXSWEDU this Tuesday 9th of March. Join our own Marco van Hout, Frank Uffen (The Student Hotel) and Sabine de Zeeuw (Growth Tribe) in a conversation on going ""beyond blended"":How can we organize international learning experiences, with on- and off campus interaction and learning, and make sure they are truly connected? In this session emerging practices from Europe will be shared and illustrated with three cases: TSH a campus network open to education brands, Digital Society School offering transformational learning for a responsible, digital and global mindset and GrowthTribe creating a lifelong learn community with and for upskilled digital professionals. "
3/5/2021,0,20,0,https://www.instagram.com/p/CMCG3McsiKg/,"As the Digital Transformation Designer of the Design Across Cultures track and with a background in anthropology, I am fascinated by the ways in which human beings produce, communicate and maintain certain ways of' knowing '.' "
3/4/2021,0,12,0,https://www.instagram.com/p/CL_2m0Pru8V/,"What ??? Yes, we are actually going to create a digital twin of a paralympic athlete from the Topsport Academie HvA through the technology of Streamingbuzz (Aionsports). The team that consists of Shauna Jin, Mariana Pinheiro, Alexander Bernevega, Elisa Cocch, Markéta Davidová, Teddy Botchway, Valentina Marino Arboleda are going to explore how to support top athletes with data driven insights to balance their sporting career, life, and work / study with technology around existing and innovative channels including AR and VR. Cool right? "
3/3/2021,0,26,0,https://www.instagram.com/p/CL9EElyA5AJ/,"“As a new Digital Transformation Designer & Coach of the EdTech for Social Change track, I seek to establish positive connections between learning, digital, and design”.Meet Iris Brugman: she joined Digital Society School this month as a Digital Transformation Designer & Coach for the EdTech for Social Change Track. Iris has previously worked in Learning & Development and Digital Design in corporates. Her expertise focuses on the creation of online learning modules and Visual / UX / UI design. Growing up as a Dutch expat in Germany and England, digital platforms always allowed her to keep connected. Motivated by challenge and creativity, she supports others in creating their desired digital designs."
3/2/2021,0,18,1,https://www.instagram.com/p/CL6Ri6OLqOd/,"Job alert! We are looking for an experienced Online Marketeer with a passion for digital transformation and who wants to have a positive impact on society. Your goal is to build & grow the Digital Society School's brand, generate leads and bring in individual course participants by continuously improving our paid / email marketing activities and the use of marketing analytics and technology. In this role you are part of the Digital Society School's Sales & Marketing team and work closely together with our Content Marketeer. "
3/1/2021,0,19,0,https://www.instagram.com/p/CL36e0OA0xx/,"Method Monday time. Set your goals, choose your methods, work your magic.Behavioral lenses: WHEN When you need to understand the user and context. WHY Design for behavior change is tricky, you will need a deep understanding of your users' behaviors."
2/25/2021,0,7,0,https://www.instagram.com/p/CLtnVvULYbW/,Find out what we're up to? Don't miss our next newsletter tomorrow!
2/24/2021,0,51,4,https://www.instagram.com/p/CLrChnKD-QC/,"""As a Digital Transformation Designer for the Digital Twins track I am excited to explore the possibilities of data analysis in developing a sustainable and accessible future."" Meet Mariana Pinheiro: She is an Industrial Designer, speculative thinker, hands-on maker, and sustainability advocate. She has experience designing for IoT in the toy, therapy, and healthcare industries, has taught in academia, and has worked with the retail industries to help accelerate the sustainable shift. She has now joined DSS as a Digital Transformation Designer for the Digital Twins track where she is excited to explore the possibilities around data analysis in developing a sustainable and accessible future."
2/23/2021,0,17,1,https://www.instagram.com/p/CLoyWEusKvj/,"Connection doesn't just happen, you have to design for it! Last week on Monday we welcomed our newest batch of Trainees for our Digital Transformation Intensive Program. Rather than diving straight into the work, we make space to build up the learning community. This means that our trainees are more comfortable asking the hard questions when they start to explore complex challenges later on. Judging on how they described their mood as they left the first day, I think we can say that with the right facilitation it is possible to start building connections online!"
2/22/2021,0,15,2,https://www.instagram.com/p/CLmDOCtAmLZ/,"Yoohoo! Our second edition of the Sustainability by Design course given by our very own@_annekevwwill start again on March 25th! This time around, we are proud to announce our collaboration with Nadim Choucair, ecosystem builder and founder of Berlin-based 2030 Cabinet. It's going to be a fun learning experience! 😊"
2/22/2021,0,15,0,https://www.instagram.com/p/CLl48cnsMvX/,"Method Monday - Set your goals, choose your methods, work your magic.Backcasting:WHEN When a future goal (even if it is vague) has been identified.WHY To make a road map of clear milestones towards a future goal."
2/21/2021,0,41,0,https://www.instagram.com/p/CLjUH5AAOV9/,"Do you have a passion for solving social challenges to improve lives? Join us for the first Spring edition of the #GlobalGoalsJam ! This is a two day event where creative teams work together on local challenges related to the Global Goals. Using a tailored toolkit, we will create interventions aimed at short term targets in support of the long term Sustainable Development Goals."
2/20/2021,0,17,0,https://www.instagram.com/p/CLgvVuKHopB/,"Curious to learn more about Diversity & Inclusion, and how you can make actionable changes in your daily practice? Our colleague and D&I advocate@SobhiKhatib will share useful insights and tips with you in the course starting March 2, 2021. Our first edition of the course was sold out within a few weeks. Don't wait any longer and join us now! To register, go to Courses on our website."
2/19/2021,0,12,0,https://www.instagram.com/p/CLefKfqrozg/,"Learn how to create and optimize your teaching during this period of digital learning. Our modules are designed to fit your busy schedule, with a mix of self-learning and a live interactive hour with our expert Dimitrios Vlachopoulos. "
2/19/2021,0,10,0,https://www.instagram.com/p/CLeKjC1gPK7/,"Make sure you don't miss a thing about our projects, partnerships and digital events. Go to News & Events on our website to sign up for our newsletter! "
