Date,Viewcount,Likes,Post Link,Description
"Apr 21, 2021",,6,https://twitter.com/DSSAmsterdam/status/1384803615794155520,"How often don’t we say: ‘Ask nature’ or ‘Look at nature’ when dealing with complexity? 🎤 What is biomimicry and how can it help solve human design challenges? Listen to todays #21for21 #podcast with @sevenvortex, @demadera & @carolaverschoor. https://t.co/ChxTbYL64L https://t.co/wBVykkPFva "
"Apr 14, 2021",,2,https://twitter.com/DSSAmsterdam/status/1382301764137984004,How can we design transparent and personalized governmental services for a digital age? Find out how we explored this question through the 'Government as Platform' project. A collaboration with  @DSSAmsterdam
"Apr 08, 2021",54.3k,1.5k,https://twitter.com/DSSAmsterdam/status/1380060333713326084,I did a creepy thing (again). The human eye webcam.    #hci #robotics #diy #speculativedesign #design #CHI2021 More info and #opensource :  https://marcteyssier.com/projects/eyecam/
"Apr 07, 2021",,5,https://twitter.com/DSSAmsterdam/status/1379763302180474881,How can we really embody change and stop the focus on mere thinking about possible futures? - For our #21for21 podcast seri… 
"Apr 07, 2021",,2,https://twitter.com/DSSAmsterdam/status/1379704665164636164,Here's sneak peek of #21for21's 1st episode. @demadera & @carolaverschoor had a great conversation with Dutch journalist @W… 
"Apr 07, 2021",,8,https://twitter.com/DSSAmsterdam/status/1379704563473776641,Our second EdTech Talk is coming up soon @DSSAmsterdam . This time @ChrisBrown1475 will grace us with his presence. Sig… 
"Apr 07, 2021",,3,https://twitter.com/DSSAmsterdam/status/1379704554778988548,I will be sharing my knowledge on coaching skills and coaching conversations during this short course I will be giving…
"Mar 30, 2021",,1,https://twitter.com/DSSAmsterdam/status/1376802359699996674,"Dear Future, I'm Ready! #21for21 An inspiring podcast series on #transformation, which we are co-hosting with @DSSAmsterdam… "
"Mar 30, 2021",,11,https://twitter.com/DSSAmsterdam/status/1376802327236116481,"How do we design for, and with #SDGS? Join this course by @DSSAmsterdam and @2030Cabinet to learn more - starting next… "
"Mar 25, 2021",,5,https://twitter.com/DSSAmsterdam/status/1375070751552901126,We're proud of @emma_beauxis! 🥳 Congratulations on your nomination on the 100 Brilliant Women in AI Ethics 2020 list. https://t.co/eNgapl5jEJ 
"Mar 09, 2021",,4,https://twitter.com/DSSAmsterdam/status/1369203689341284355,There is an uneven distribution of knowledge across the globe - we have come together with @TheStudentHotel and @DSSAmste… 
"Mar 08, 2021",,7,https://twitter.com/DSSAmsterdam/status/1368833186084577282,"Calling all students, leaders and #changemakers! Do you have a passion for solving social challenges? Want to win a ca… "
"Mar 08, 2021",,4,https://twitter.com/DSSAmsterdam/status/1368833176924217347,3 weeks left to dive into #sustainability and #design by the guidance of @2030Cabinet and @DSSAmsterdam. Want to prepar… 
"Mar 04, 2021",,3,https://twitter.com/DSSAmsterdam/status/1367460215185149955,"Join us @sxsw #SXSWEDU next Tuesday 9th, right after @Oprah's opening :-), we will be discussing how to organise internationa… "
"Mar 04, 2021",,10,https://twitter.com/DSSAmsterdam/status/1367389293912678401,"3-part, live (virtual), #workshop with @DSSAmsterdam starting in 3 weeks (part 1 with us 🤓) #SustainabilityByDesign…"
"Mar 02, 2021",,5,https://twitter.com/DSSAmsterdam/status/1366684091471585282,#vacancy alert! We are looking for an experienced Online Marketeer with a passion for #digitaltransformation and who wants to have a positive impact on society. Deadline: March 14. https://t.co/nQrDrkPNbu #hva #amsterdam #digitaltransformation #marketeer #vacature #SDG https://t.co/vC54KQLaE4 
"Feb 22, 2021",,6,https://twitter.com/DSSAmsterdam/status/1363767293478658048,Do you have a passion for solving social challenges to improve lives? Join us for the first Spring edition of the #Glob… 
"Feb 17, 2021",,5,https://twitter.com/DSSAmsterdam/status/1361978255734157317,"Are you a creative thinker and a problem solver with strong project management skills, and do you have expert knowledge of interaction design, user experience design and customer experience design? Check this #vacancy! ➡️https://t.co/J1tXnx3BtF #AUAS #HvA #DSS #Amsterdam #job "
"Feb 16, 2021",,,https://twitter.com/DSSAmsterdam/status/1361600630775828480,@WerkenbijHvA is currently looking to fill the following vacancy for the Digital Society School (DSS) #vacancy https://t.… 
"Feb 15, 2021",,1,https://twitter.com/DSSAmsterdam/status/1361311442683760643,"@ChrFischbach Thank you for sharing, Christian! https://t.co/ESSpjzH4rH"
"Feb 15, 2021",,10,https://twitter.com/DSSAmsterdam/status/1361311131298648066,Die Digital Society School (@DSSAmsterdam) hat ihr Design Method Toolkit für agile und kollaborative Projekte online gest… 
