Date,Viewcount,Likes,Post Link,Comments,Description
20 October 2020,,2,https://www.facebook.com/digitalsocietyschool/photos/a.804885903042342/1491216604409265/,0,"In 9 days we organise the Digital Twin webinars. Today we introduce Ellen ter Gast to you. Ellen is Track Ambassador at the Digital Society School. In the webinar Ellen will talk about the 'ecology' of Digital Twins. What kind of species are they? How did they evolve? Are we in control, or do they control us?Are you interested in this topic? Subscribe for free on our website:"
,,1,https://digitalsocietyschool.org/project/episode-2-hugo-araujo/?utm_content=buffera134b&utm_medium=social&utm_source=facebook.com&utm_campaign=buffer&fbclid=IwAR3ldlKkG2JjB6JkxfvpF-vdRnjjRI7jlcvZUeDavbKZoaGFLM8ou1JlYh4,0,"How often don’t we say: ‘Ask nature’ or ‘Look at nature’ when dealing with complexity? But how often do we actually DO that? Asking nature? 🎤  How can biomimicry, the practice that learns from and mimics the strategies found in nature, help solve human design challenges? For answers to these questions, and for raising more questions, Carola and Marco did not ask nature, but they asked Hugo Araujo. In this second episode of the #21for21 series, Carola and Marco talk to Hug"
5 February,,6,https://www.facebook.com/digitalsocietyschool/photos/a.802299796634286/1579557325575192/,0,"Meet Shauna Jin: she joined Digital Society School this month as program manager for the Digital Twin Track. Shauna is a curious designer, thinker and doer, working at the intersection of business and academia. She has experience in leading and facilitating human-centered innovation processes, especially around technologies such as AI and IoT. She has worked with a variety of organizations, from startups to traditional corporates and higher education. And across various industries including healthcare, technology and retail."
13 October 2020,,1,https://www.facebook.com/events/2421617014807588/,0,"In 2019, global research and advisory company Gartner listed Digital Twin as a key strategic technology trend. The idea of a digital twin, a virtual representation of an object, a"
5 Otober 2020 ,,8,https://digitalsocietyschool.org/insight/vacancy-program-manager-digital-twin-track-08-fte/?utm_content=buffer05c1a&utm_medium=social&utm_source=facebook.com&utm_campaign=buffer&fbclid=IwAR1NQ4XDvo2QuO6_KMrYHx33DOlgdxecE4clswoVRb1pbZDhuAqFoG0JmqA,0,For our soon to be released new Digital Twin track we are looking for a Program Manager. Read all about it on our website: https://buff.ly/30zUcU4 #design2030now #hva #amsterdam #digitaltwin #vacancy
29 September 2020,,0,https://l.facebook.com/l.php?u=https%3A%2F%2Fbuff.ly%2F2GnUKF9%3Ffbclid%3DIwAR3f8GmY9uyaL2hQeKMqJONwA0TrS_OwYEfja9EDQQ1IOpbG9bKD4-aBS1U&h=AT19KXhevpOUqGlf25fD6lqUXiy44jEl6f3GSHRCTmriE6PRbmmsD4HKyDIDdeVJnmohEUZChG4WdMQIvLGWPIZAo6wo05aljYw8b2INNiDVNJfdKkN2u812ETh4Kd4bhCs&__tn__=H-R&c[0]=AT2huG0_SpRiTpp_BLCnmrYelybJEanXdPL2BvpF3EXsnzV7930Fn-iiV24LDGJuIS0mWr6hcNAvv-5QrCHQiVNDS4LZMPUkO5Pd-9LtZFyvzj3HwHpZrcO_0QwcOCfJQbyayAapUjtnkzaYQVgIR3Lhh57qGkABeB5IUSPfNwUF7w4,0,Tonight we host together with Sogeti the Psych-IT 4 meetup. The Corona Format: One hour – Live at Youtube – English – 100% Online Awesomeness
22 September 2020,,1,https://digitalsocietyschool.org/event/psych-it-4-designing-media-for-human-nature/?utm_content=buffer84966&utm_medium=social&utm_source=facebook.com&utm_campaign=buffer&fbclid=IwAR0y-UIg0J_2FvwihwUZxyVUVtMIT6zqUsk1rgrPYq3czdkFVRVzbjZDLTY,0,"Next week, 29 September: Online Meetup - Designing Media for Human Nature 👉 Register here: https://buff.ly/2FZDAhe The reason why TikTok and Instagram stories work, is because it enables us to play a better act. These media connect to our playful human nature. Research Director Menno van Doorn views these platforms as stages for our performances, but this is not an escape from ‘real’ life. “Life itself is a play, as described by the great sociologist Erving Gossman in his Th "
21 September 2020,,11,https://www.facebook.com/digitalsocietyschool/photos/pcb.1465810823616510/1465810616949864/?__cft__[0]=AZWY1LEvZFkDJU8ZzvxrHVLzAGqd2J-ZGaZKLzlYjp3qfrycGapq5zGge_39Qj67RhRFOCoTHCgBVuiGFNHbmYVejftXk6_v9pK7pfSQs1d_Zx_5qMNO9JRmrFwM6GNuTJGWQyL3Bjj5zJTMft3ColdP&__tn__=*bH-R,0,Thank you all so much for contributing to the fifth edition of the #globalgoalsjam! We are impressed by all the pictures your shared with us from all over the world. Thanks to our amazing community! #design2030now #sdg #jam #undp #sustainabledevelopmentgoals #designmethods
21 September 2020,,2,https://my.walls.io/p6s8v?fbclid=IwAR1mR-IEL1VIpI_qFlQYDbisaihq562fJ1zW4aUQFIK4R8N1Yg6lSF_jxuww,0,Wow! It was zo wonderful to see all amazing messages about the #GlobalGoalsJam this weekend. And how amazing people create a Global Goals Jam collection board themselves? 🙂 Check out this Social Wall and collect the good vibes of this weekend. 🥳 https://walls.io/p6s8
15 September 2020,,5,https://www.facebook.com/digitalsocietyschool/videos/328511698478422,0,This weekend on Friday 18 September and Saturday 19 September it's the 5th edition of the 
18 September 2020,,4,https://www.facebook.com/digitalsocietyschool/videos/1460439150820344,0,This weekend on Friday 18 September and Saturday 19 September it's the 5th edition of the 
14 September 2020,,6,https://www.facebook.com/digitalsocietyschool/photos/a.804885903042342/1459538800910379/?__cft__[0]=AZWiRuKJcLkaGU_UM1HAZmdHv2uFGTL7FFze9INNNyhfnpmj_M3b46_DI00qHspI2Hcoh9YSbDfrCvSxSz93aTR9owoiE9NSrjzps1dNqCpjViXOc2D90AYr_EmQco-0OvGDiXSnEIAHNajGE3L1sxGp&__tn__=EH-R,0,Amazing to see where all participants of the Global Goals Jam symposium this Wednesday are coming from. We are excited to start the 5th edition of 
9 September 2020,,5,https://www.facebook.com/digitalsocietyschool/photos/a.804885903042342/1455346034662989/,0,"Interested in #strategicdesign or #businessstrategy? Then join us online at the 5th edition of SERVICE DESIGN DAYS conference this week! Marco Van Hout and Olina Terzi will be giving a workshop on #DigitalTransformation #Design, sharing insights from the work we do at the Digital Society School in an incredible lineup of speakers from IDEO, Livework studio, frog, Fitbit, Mozilla, GOV.UK and BBC to mention a few. 👉🏼 Reserve your spot now and we'll see you online! https://servicedesigndays.com/sdd2020/ See less"
8 September 2020,,2,https://www.facebook.com/digitalsocietyschool/photos/pcb.1454546798076246/1454546748076251/,0,Creating new tutorials for blended learning: webinars & live events with MSTeams
8 Sptember 2020,,7,https://digitalsocietyschool.org/event/global-goals-jam-2/?fbclid=IwAR2dgdaec9YWl6gf5RHSlDrXLZl4VcXW5TiAfPMkvZavqJ6olH3HVZ_RoEk,0, Special announcement! It's the 5th edition of the Global Goals Jam this year. Celebrate this with us 16 September at the online Back to the Futures symposium and the official kickoff of the
28 August 2020,,4,https://l.facebook.com/l.php?u=https%3A%2F%2Fbuff.ly%2F3iLBbVa%3Ffbclid%3DIwAR2jhoG7SO7jQH9dxT-V0vl2F-qcUBe31wB6MXpWpgrcmCh_JYYDE67Avts&h=AT0WdDDqL3dT2NwYyxCuXaFoQV6eaKjb06F8P7aFwBiGYRpRnPTAZNx0HjFU0hxKOHTr8mLGN2eaP8ohTcsp15aoFpq0CaZY8oMfBb6P2uHm6AKWbXvI4nWaORTSpzHA9zk&__tn__=H-R&c[0]=AT1G3X1B0eD8Up-SpaPPyLR-D0hVWOdRzyys8SeV0OzzMkRe4fvmPROnF-6OJaxZFipmcNDul-unc2br7b95wQV45ZCi2C_suMLmjk6UdUabtNUC5GlyFKnd86WzinHT_fWYoHlwm1HDAbclBjlfPWLofHpH0fIgXTJMvS37H5NuJPo,0,"29 September: Online Meetup - Designing Media for Human Nature Register here: https://buff.ly/3iLBbVaThe reason why TikTok and Instagram stories work, is because it enables us to play a better act. These media connect to our playful human nature. Research Director Menno van Doorn views these platforms as stages for our performances, but this is not an escape from ‘real’ life. “Life itself is a play, as described by the great sociologist Erving Gossman in his The Presentat"
25 August 2020,,4,https://www.facebook.com/digitalsocietyschool/photos/a.804885903042342/1442185669312359/?__cft__[0]=AZWI4A-rKbYYQM8TiGkixez1HCRzS39Unap8KMl_lLA2NI4oOlLzTepfv2TzgXEklAEXuBULf-arK5jNO05ky0G7lPWNwn5Yy_0NVmH2a5Kq85XYEyEdroNkKa5aSnkHWyXzrx0br9oVUyNLyqHy6m24KxVY3wcf5IkqVf36TR_9-g&__tn__=EH-R,0,Job alert! . We’re looking for a hands-on digital design intern to help us drive our brand forward! Interested? Check out the opening in the comments and hopefully see you soon
25 August 2020,,2,https://mkorostoff.github.io/1-pixel-wealth/?utm_content=buffer2973a&utm_medium=social&utm_source=facebook.com&utm_campaign=buffer&fbclid=IwAR1wnddtQFeXxyxsgRAWUbMuztmYNH-0Li0DlKd6EKk1qTfl3kCYpf-BQMw,0,Inequality in the United States is out of control. At this website the issue is visualised in a unique way
21 August 2020,,4,https://medium.com/disruptive-design/free-tools-for-sustainable-and-circular-design-f110409a2f5?utm_content=bufferb8f8c&utm_medium=social&utm_source=facebook.com&utm_campaign=buffer&fbclid=IwAR2LhxJ2rZm-On-0rtbiCUJmjK5HwMI9GiKnex6E5RMUdYEMTS1Q7K5fgk0,0,Are you looking for some inspiration? These are some Free Tools for Sustainable and Circular Design
14 August 2020,,0,https://goodmenproject.com/featured-content/inside-the-digital-society-what-have-we-learnt-about-a-digital-society-from-lockdown/?utm_content=buffer1ac25&utm_medium=social&utm_source=facebook.com&utm_campaign=buffer&fbclid=IwAR1hpaE5Nv7b53p-Rm-1UjTZigGwiMB4oyFo6O18B7MZjJitYOzugRqEGUo,0,David Souter wrote an article about Digital Society and the lockdown in his country. His overarching thought is that we’re not as close to being digital as some believed
11 August 2020,,7,https://digitalsocietyschool.org/event/global-goals-jam-2/?fbclid=IwAR2dgdaec9YWl6gf5RHSlDrXLZl4VcXW5TiAfPMkvZavqJ6olH3HVZ_RoEk,0,"Friday 18 and Saturday 19 September it's time for the 5th edition of the Global Goals Jam! The Global Goals Jam is a two day event where creative teams work together on local challenges related to the Global Goals. Using a tailored toolkit, we will create interventions aimed at short term targets in support of the long term Sustainable Development Goals.Do you have a passion for solving social challenges to improve lives? Then join us in our online Amsterdam edition"
7 August 2020,,5,https://medium.com/futuredoing/speculative-now-intervention-design-for-the-post-coronavirus-world-7f9c37e60beb?utm_content=buffer34b25&utm_medium=social&utm_source=facebook.com&utm_campaign=buffer&fbclid=IwAR1RPAOC57dw6Rm_0SY1Yds_AoBrHUJv1--8a7bEWJ83v0FMG31UDFIrS88,0,"""I’ve seen the future, and I’ve left it behind, Black Sabbath (in Supernaut) Over the past ten weeks, students of the Communications and Multimedia Design (CMD) department of the Maastricht Academy of Media Design and Technology (MAMDT) participated in the course Intervention Design. The results are shared in this article."
4 August 2020,,3,https://digitalsocietyschool.org/insight/beyond-swiping-typing-and-watching/?utm_content=buffer37985&utm_medium=social&utm_source=facebook.com&utm_campaign=buffer&fbclid=IwAR1s2edKz--nElvBZ7zR87esAsS5iFHp4r48DrPt7eqUHGmnzYpC18Y-In8,0,"At this moment we find ourselves in an unprecedented situation. The corona virus and the social distancing measures countries have taken, forces us to stay at home and (for a big part) move our lives from physical to digital contact. We meet our colleagues only via screen and even with family we have only contact via phone or screen. And even when we see them, we need to keep distance and are not allowed to hug It is a wonderful thing that thanks to internet technology we"
31 July 2020,,0,https://digitalsocietyschool.org/insight/happy-hand-therapy/?utm_content=buffer3f280&utm_medium=social&utm_source=facebook.com&utm_campaign=buffer&fbclid=IwAR1xNRlNdMGLBJcv4TFhmY4tlm-RHVVJl-ZYhj4XP03OCBogGegCdu6lT0I,0,"What do you see on this picture? As you can see the main character is a bottle you find at home that is not used anymore. Clearly it can be transformed into a fish, with some imagination. Will it fly due to air pressure that is released?"
28 July 2020,,3,https://l.facebook.com/l.php?u=https%3A%2F%2Fdigitalsocietyschool.org%2Fevent%2Fglobal-goals-jam%2F%3Ffbclid%3DIwAR2eVrqBmuDB3N1JbqDhNlu1nX7Xb9kk2q_jWh4J_oMJUk1-2SiGt-gnptM&h=AT11bqcNqJAyNGcQDsAnh1MFIvCPX9y8lZ10ORUdxSqp0K3lxlKVhsNMDYULKWIE_YdJiQO6E8yZYWvHESwq97D57XR9WMgyM66Cl02QN4HvgbPBBfdyN2BZ0XekUHH9Kpg&__tn__=H-R&c[0]=AT1w907ua5wcb7PX2aV46zw5vgvINafd86vCqJKgA0JOQvisdGvnZtYKVHArmo7Sik897Sl7FkzAw9Kmara4ebMpcHqg6bPtx8kWGUsgdg60AoSdRP5v54N17xGJ52sdgW6ua_uhvY55Qd95c1TIwbYF2b9RtBWeyB-JWET36MCKgzA,0,"Since 2016 you can join a jam every September to create sustainable impact for the Global Goals! In 2019, 90+ cities participated connecting over 5000 change-makers. This year, we'll be jamming from 18-20 September. Join us!https://buff.ly/39rrnMZZ"
24 July 2020,,1,https://ethicalexplorer.org/?utm_content=buffer76ae8&utm_medium=social&utm_source=facebook.com&utm_campaign=buffer&fbclid=IwAR1wEo2RFSA6knAMEQx_xzTsqgJiwfFnAmENYx27-vVlKKuwdtypTjk23T0,0,Ethical Explorers—from product managers and designers to engineers and founders—are leaders just like you. They’re not only asking thoughtful questions about responsible tech but are also focused on building solutions that avoid the potential downsides of technology But sometimes it can be difficult knowing where to start.That’s where the Ethical Explorer Pack comes in. Whether you’re launching a new product at a startup or updating software used around the world
21 July 2020,,9,https://getfunded.nl/campagne/11089-fulfill-my-dreams-help-me-get-to-the-digital-society-school-amsterdam?utm_content=buffer3e33f&utm_medium=social&utm_source=facebook.com&utm_campaign=buffer&fbclid=IwAR2esjHP6pRmmhrU6S1X9zVP_Dkm9oT-nc8E31YaEJl7qH8A7xGID9fMsfE,1,Innosuccess Destiny is a 26-year old change maker who's dream is to start this year with his Traineeship at the Digital Society School. We're honoured to see this much dedication! Do you help Destiny to reach his funding?
16 July 2020,,0,https://www.facebook.com/digitalsocietyschool/videos/2005034047379244,0,Last June we organised our first totally online Digital Society Showcas In 20 weeks the trainees of Digital Society School worked in multidisciplinary teams on developing a working prototype in collaboration with our project partners. During the showcase the teams will show you the prototypes and explain how they contribute to the Digital Transformation of Society and the Sustainable Development Goals We are proud of everyone who made this fully online showcase possible! Want to learn more about the projects and goals? Check our website: www.digitalsocietyschool.org
